DOITT_ID, BASE_BBL                                                              
2031,3073190027                                                                 
20133,3057390001                                                                
28101,4053360030                                                                
38986,3081900039                                                                
65007,3081900050                                                                
78887,3015920001                                                                
84890,5069190060                                                                
95005,4163500300                                                                
96911,2038380260                                                                
99847,3067340024                                                                
108776,2023490100                                                               
109227,4021590002                                                               
118109,4081400122                                                               
119176,4016440043                                                               
126452,5030630006                                                               
136073,3015530025                                                               
137420,4088330047                                                               
137929,2059490237                                                               
147700,5069310052                                                               
149317,1011820018                                                               
150477,4126580018                                                               
153955,3003840051                                                               
156842,3005550005                                                               
161865,4040520007                                                               
164201,4110920049                                                               
176430,5038240003                                                               
177520,5005340025                                                               
179111,1011820119                                                               
179405,4088330041                                                               
192589,4003720008                                                               
210858,3014710020                                                               
213356,4053960011                                                               
214296,2038380260                                                               
222632,3011300011                                                               
223627,4088270004                                                               
231130,4126580018                                                               
232822,5055310144                                                               
242895,3057200059                                                               
245714,3081900039                                                               
248915,3020850002                                                               
257153,4081000025                                                               
262020,5004870020                                                               
265264,1010500001                                                               
266897,5004870020                                                               
272493,4013230009                                                               
274047,3052560004                                                               
278843,4050030045                                                               
280175,5004870020                                                               
289050,5033320039                                                               
291266,5008000001                                                               
295236,2038380260                                                               
307893,3013610022                                                               
313329,2026050020                                                               
318238,4018320010                                                               
319279,3081900050                                                               
323015,4016440041                                                               
326350,2038380260                                                               
329433,4013230006                                                               
331999,4081400124                                                               
334446,3020850002                                                               
343942,4008140001                                                               
345672,3086080037                                                               
347099,1013730040                                                               
359772,3081900039                                                               
360912,4122480019                                                               
385639,3081900050                                                               
385664,4013230009                                                               
389716,3009080162                                                               
443955,3046570007                                                               
444004,3010870010                                                               
455650,5004870020                                                               
455960,4123560002                                                               
457710,5054410076                                                               
465303,2046170028                                                               
476343,4141830025                                                               
483158,5077100213                                                               
490040,5024510115                                                               
503587,2038380260                                                               
506263,2054160125                                                               
509170,3020230001                                                               
513465,3079670039                                                               
519618,5001610099                                                               
524892,3002810001                                                               
534495,5070940144                                                               
566310,5004870020                                                               
568823,3081900050                                                               
572011,5004870020                                                               
572433,4163500300                                                               
572676,3081900050                                                               
575488,4133460081                                                               
578801,3071970014                                                               
582238,3020880030                                                               
587283,3055870060                                                               
594055,3025710018                                                               
597703,5066940173                                                               
601267,1014860005                                                               
602710,2038270001                                                               
614451,4024480001                                                               
616486,3081900039                                                               
633353,5063490021                                                               
640113,3081900039                                                               
640443,5004870020                                                               
646836,3081900050                                                               
649124,5038730032                                                               
657085,5012120094                                                               
666120,3081900039                                                               
667281,5004870020                                                               
668939,3081900039                                                               
670144,1004940141                                                               
673688,2034990023                                                               
673768,1011820117                                                               
676778,4088320037                                                               
676973,5004870020                                                               
677721,3020850002                                                               
680195,5016680200                                                               
683546,5008480006                                                               
690592,5037940045                                                               
694092,5022870110                                                               
696473,3057390001                                                               
701418,5004870020                                                               
709913,2026050020                                                               
711476,3025710018                                                               
712070,4005700036                                                               
716812,5044670043                                                               
739040,4023170051                                                               
743785,4000110001                                                               
745403,3013740007                                                               
747810,3014710021                                                               
750920,5007130057                                                               
758257,2055030050                                                               
758894,4078700194                                                               
761924,4082670038                                                               
764829,3081900039                                                               
774000,1011820017                                                               
778344,3046570007                                                               
783098,3020850002                                                               
786937,3081900050                                                               
798764,5024510115                                                               
804865,2038070006                                                               
808068,4068580001                                                               
813361,5044670043                                                               
819797,5069130008                                                               
820642,5008480009                                                               
828317,1011820019                                                               
828568,5004870020                                                               
833618,3009080162                                                               
843952,5004870020                                                               
853033,3081900039                                                               
855296,5080460094                                                               
860741,4013520071                                                               
864045,5055070195                                                               
864058,4125890041                                                               
867457,4017860011                                                               
869438,3045920032                                                               
878039,2054160125                                                               
891297,3039830013                                                               
897579,3075820013                                                               
901125,4019670005                                                               
910097,5068050160                                                               
911432,5011600084                                                               
913149,1013730004                                                               
922250,2038830027                                                               
925279,3020850002                                                               
930362,2026770041                                                               
932177,5012120094                                                               
937547,5055910029                                                               
946279,5080250088                                                               
947002,5033400100                                                               
950528,3087200095                                                               
950743,4061530028                                                               
954568,4053360030                                                               
959270,5065860001                                                               
962889,4005700036                                                               
966390,4046690053                                                               
974261,1004940141                                                               
974633,4020160071                                                               
975307,5031690013                                                               
976780,2046550006                                                               
982221,3020850002                                                               
984539,4089750066                                                               
985599,4089750066                                                               
996043,1004690004                                                               
996110,1006510013                                                               
996402,1006560007                                                               
996579,3067470001                                                               
996749,1011070021                                                               
999602,2046460001                                                               
999603,2046460001                                                               
999604,2046460001                                                               
1000533,3017650031                                                              
1008052,4161730025                                                              
1008548,3020870001                                                              
1009355,4161730025                                                              
1010293,4161730025                                                              
1042677,3087000250                                                              
1044229,5004870020                                                              
1044866,5001980007                                                              
1046263,4161730025                                                              
1048649,2049740120                                                              
1051109,4037320412                                                              
1052150,4068110039                                                              
1058101,4161730025                                                              
1060545,4088090081                                                              
1060549,3086080100                                                              
1066634,5023590001                                                              
1072581,4132180018                                                              
1073030,4161730025                                                              
1080446,4161730025                                                              
1084858,5018550003                                                              
1088326,2025430001                                                              
1094339,5002380269                                                              
1095827,3071970014                                                              
1101232,4163500300                                                              
1106087,5035000114                                                              
1110328,4033750087                                                              
1111102,1001840005                                                              
1111379,1001840005                                                              
1114349,4088200001                                                              
1115575,4113720068                                                              
1115643,3020850002                                                              
1115851,3087200095                                                              
1116320,1009950001                                                              
1118713,5004870020                                                              
1154862,5033320039                                                              
1156634,5032890034                                                              
1156693,4142600001                                                              
1158548,4081400108                                                              
1159031,4022480228                                                              
1164655,4088270002                                                              
1170181,4074900002                                                              
1170852,4088210002                                                              
1172341,4101730037                                                              
1178206,4095040004                                                              
1180347,4142010109                                                              
1180525,4088200001                                                              
1180645,4088320002                                                              
1181571,4125170063                                                              
1181947,4088330049                                                              
1182873,3087000250                                                              
1184628,3069970200                                                              
1184629,3069920028                                                              
1184630,3087650095                                                              
1185495,5055200050                                                              
1185683,5073280016                                                              
1186388,5004870020                                                              
1186389,5030600001                                                              
1186585,5010420184                                                              
1186659,5053290039                                                              
1187911,5070940144                                                              
1188359,2049740120                                                              
1189888,5009280001                                                              
1191399,2056360149                                                              
1191419,2043330001                                                              
1192120,2056360177                                                              
1192121,2056360158                                                              
1192635,1006560042                                                              
1192636,1006560042                                                              
1192965,2053470037                                                              
1193548,4122100032                                                              
1194347,1001210001                                                              
1195541,4142600001                                                              
1195940,2056530074                                                              
1196319,5007900029                                                              
1196959,5064520021                                                              
1200479,3039760015                                                              
1200716,3064710013                                                              
1201602,2059580065                                                              
1203396,5066940001                                                              
1207077,2058060681                                                              
1207260,2049710046                                                              
1209041,2033610001                                                              
1209228,2058060681                                                              
1210174,5004870020                                                              
1211619,2038270055                                                              
1211633,4082640007                                                              
1213663,4081400104                                                              
1214158,5023600068                                                              
1215127,1006620013                                                              
1217442,5038210052                                                              
1217489,5075580435                                                              
1217705,5044670043                                                              
1218877,4113900003                                                              
1219147,5011700020                                                              
1219828,2038380260                                                              
1220812,4132180015                                                              
1221694,3065420008                                                              
1222728,4163500400                                                              
1223421,3011170001                                                              
1223623,3002810001                                                              
1223629,5070940144                                                              
1225077,4088100084                                                              
1228100,4088210004                                                              
1229649,4081400126                                                              
1229927,4074900002                                                              
1232622,4132520020                                                              
1233436,5028350045                                                              
1234196,3044520811                                                              
1234883,3045660001                                                              
1235105,5030810055                                                              
1238524,4134330051                                                              
1238630,4088100090                                                              
1240543,1001840008                                                              
1240597,4095040004                                                              
1242819,5078900009                                                              
1244623,4081400106                                                              
1244718,2031200020                                                              
1244900,4088120015                                                              
1245536,5080250088                                                              
1249066,1006560007                                                              
1251042,4026430034                                                              
1251211,5004670040                                                              
1251589,3086270031                                                              
1253685,2049050002                                                              
1255513,1000580001                                                              
1255514,1000580001                                                              
1255889,5011860044                                                              
1256106,4113720071                                                              
1256107,4113720070                                                              
1256179,4132290013                                                              
1256193,4082620050                                                              
1256486,4007760150                                                              
1258674,3052560004                                                              
1258675,3052560004                                                              
1259983,4039160255                                                              
1260380,4118980016                                                              
1261144,5004870020                                                              
1265594,4088210031                                                              
1265654,4032540020                                                              
1265772,4088270001                                                              
1265816,4088110001                                                              
1265972,4088330050                                                              
1266016,4132290011                                                              
1266188,4088320039                                                              
1266241,4153040001                                                              
1266649,4088210031                                                              
1266753,4141630037                                                              
1266984,4132300017                                                              
1267203,4032530062                                                              
1267259,4088210001                                                              
1267312,4088120003                                                              
1267367,4150040001                                                              
1267456,4132120031                                                              
1267473,4132290011                                                              
1267646,4088090082                                                              
1267704,4132120035                                                              
1268114,4082620040                                                              
1268233,4025770010                                                              
1268339,4023250022                                                              
1268411,1013540001                                                              
1268549,4016570020                                                              
1268631,4025770010                                                              
1268657,4025770025                                                              
1268736,4041580001                                                              
1268948,2056510048                                                              
1269046,2053680001                                                              
1269200,2056510060                                                              
1269521,2049910042                                                              
1269645,2056520074                                                              
1269828,2059111102                                                              
1269897,2056510300                                                              
1269904,2042260030                                                              
1269921,2049660039                                                              
1270162,5054200101                                                              
1270271,5004870020                                                              
1270568,5003910128                                                              
1270934,5045780001                                                              
1271298,3028130050                                                              
1272279,3006670001                                                              
1272368,3058100044                                                              
1272800,4088100083                                                              
1276381,5030810055                                                              
1281110,2027470001                                                              
1281674,5069790001                                                              
1282496,3057080042                                                              
1282929,4000540135                                                              
1283789,2026050010                                                              
1283806,3087000250                                                              
1284997,4108660024                                                              
1285557,5008780350                                                              
1286541,2037020001                                                              
1286714,3013610014                                                              
1286921,3078020019                                                              
1286922,3078020019                                                              
1287554,3005000001                                                              
1288243,5019910017                                                              
1288246,5019910019                                                              
1288305,5036490044                                                              
1288318,2055990041                                                              
1288320,2055990041                                                              
1288322,3087470157                                                              
1288326,2055990041                                                              
1288389,4112130037                                                              
1288391,4112130037                                                              
1288566,5031250002                                                              
1288622,4029110011                                                              
1288714,5063350005                                                              
1288725,5040370018                                                              
1289025,4048360014                                                              
1289038,4055230018                                                              
1289062,3087000250                                                              
1289106,1021350060                                                              
1289107,1021350060                                                              
1289183,3057130052                                                              
1289463,3057050050                                                              
1289627,3040380001                                                              
1289683,4107380014                                                              
1289736,3057050050                                                              
1289776,1009660050                                                              
1289825,4160380036                                                              
1289853,4115550016                                                              
1289854,4115550016                                                              
1289855,4115550007                                                              
1289856,4115550016                                                              
1289857,4115550016                                                              
1289859,4115550016                                                              
1289860,4115550016                                                              
1289963,1006650006                                                              
1289964,1006650072                                                              
1290000,1009620050                                                              
1290061,3086640444                                                              
1290163,3078100017                                                              
1290275,3003300049                                                              
1290309,3072660270                                                              
1290368,3048270024                                                              
1290386,3023140015                                                              
1290396,2029530035                                                              
1290471,5020910075                                                              
1290522,1004250031                                                              
1290575,2027920024                                                              
1290607,2023880058                                                              
1290634,1002800014                                                              
1290645,5023910169                                                              
1290667,5077920315                                                              
1290693,1016270051                                                              
1290747,1008300003                                                              
1290886,5005030032                                                              
1291032,5077860108                                                              
1291171,5064690014                                                              
1291361,5007740124                                                              
1291532,1009950001                                                              
1291578,4098840001                                                              
1291579,4098840043                                                              
1292048,4058720102                                                              
1292049,4058720102                                                              
1292050,4058720102                                                              
1292135,1021500001                                                              
1292246,2057860195                                                              
1292255,4163500400                                                              
1292322,4054390025                                                              
1292375,4096880006                                                              
1292504,3023060022                                                              
1292932,5014780151                                                              
1293141,5030010045                                                              
1293169,4016690018                                                              
1293172,4052200016                                                              
1293431,3044520419                                                              
1293867,4017800052                                                              
1293918,4162250014                                                              
1294160,5031790032                                                              
